Rebalance_Date,Turnover
2019-07-01,
2019-09-30,0.7222305
2019-12-31,0.6049740000000001
2020-03-31,0.732321
2020-06-30,0.548225
2020-09-30,0.617019
2020-12-31,0.259272
2021-03-31,0.6909540000000001
2021-06-30,0.3180075
2021-09-30,0.7927515
2021-12-31,0.45187350000000004
2022-03-31,0.1577385
2022-06-30,0.467945
2022-09-30,0.08011350000000003
2023-01-03,0.549635
2023-03-31,0.9190765000000001
2023-06-30,0.318248
2023-10-02,0.14390799999999998
2024-01-02,0.538134
2024-04-01,0.33935350000000003
2024-07-01,0.05899650000000001
2024-09-30,0.364789
2024-12-31,0.007755000000000019
2025-03-31,0.34007
2025-06-30,0.225315
2025-09-30,0.537486
2025-12-31,0.5876835
2026-03-31,0.038126499999999994
