Rebalance_Date,Turnover
2019-07-01,
2019-09-30,0.2
2019-12-31,0.116004
2020-03-31,0.2916325
2020-06-30,0.054926
2020-09-30,0.0557665
2020-12-31,0.05982700000000002
2021-03-31,0.025339
2021-06-30,0.006538000000000008
2021-09-30,0.0
2021-12-31,0.0
2022-03-31,0.0
2022-06-30,0.4
2022-09-30,0.017763999999999995
2023-01-03,0.395643
2023-03-31,0.14200200000000002
2023-06-30,0.064781
2023-10-02,0.2
2024-01-02,0.2
2024-04-01,0.028395000000000004
2024-07-01,0.006236999999999996
2024-09-30,0.022158000000000004
2024-12-31,0.0
2025-03-31,0.0
2025-06-30,0.2
2025-09-30,0.0
2025-12-31,0.059837
2026-03-31,0.001356999999999997
