Rebalance_Date,Turnover
2019-07-01,
2019-09-30,0.8141685000000001
2019-12-31,0.5378125
2020-03-31,0.5586539999999999
2020-06-30,0.132446
2020-09-30,0.37464250000000004
2020-12-31,0.174797
2021-03-31,0.571958
2021-06-30,0.3395060000000001
2021-09-30,0.5313920000000001
2021-12-31,0.3343685
2022-03-31,0.07839150000000002
2022-06-30,0.3404195
2022-09-30,0.11590449999999997
2023-01-03,0.42937700000000006
2023-03-31,0.7450025
2023-06-30,0.5820425
2023-10-02,0.0931735
2024-01-02,0.269581
2024-04-01,0.15369300000000002
2024-07-01,0.016657000000000005
2024-09-30,0.227386
2024-12-31,0.173383
2025-03-31,0.07277900000000001
2025-06-30,0.40025599999999995
2025-09-30,0.4286025
2025-12-31,0.4461339999999999
2026-03-31,0.09971649999999997
