Rebalance_Date,Turnover
2019-07-01,
2019-09-30,0.074211
2019-12-31,0.029950000000000004
2020-03-31,0.292661
2020-06-30,0.08568200000000001
2020-09-30,0.06279600000000002
2020-12-31,0.10885399999999998
2021-03-31,0.109222
2021-06-30,0.10543000000000002
2021-09-30,0.027470499999999995
2021-12-31,0.08528400000000001
2022-03-31,0.06260650000000001
2022-06-30,0.246893
2022-09-30,0.07646700000000001
2023-01-03,0.1529375
2023-03-31,0.24095250000000001
2023-06-30,0.118902
2023-10-02,0.187022
2024-01-02,0.012978000000000009
2024-04-01,0.321574
2024-07-01,0.312701
2024-09-30,0.32304700000000003
2024-12-31,0.249979
2025-03-31,0.023013999999999993
2025-06-30,0.440574
2025-09-30,0.22306499999999999
2025-12-31,0.24638300000000002
2026-03-31,0.382124
