Rebalance_Date,Turnover
2019-07-01,
2019-09-30,0.1578485
2019-12-31,0.118084
2020-03-31,1.0
2020-06-30,0.09726700000000002
2020-09-30,0.03600300000000001
2020-12-31,0.04468450000000002
2021-03-31,0.022257500000000013
2021-06-30,0.04152350000000002
2021-09-30,0.023246499999999986
2021-12-31,0.20863700000000002
2022-03-31,0.031287999999999996
2022-06-30,0.168456
2022-09-30,0.013433000000000014
2023-01-03,0.0
2023-03-31,0.39391600000000004
2023-06-30,0.3622675000000001
2023-10-02,0.11258149999999999
2024-01-02,0.232612
2024-04-01,0.07985700000000003
2024-07-01,0.057422
2024-09-30,0.09504399999999999
2024-12-31,0.04105199999999999
2025-03-31,0.298456
2025-06-30,0.622123
2025-09-30,0.45903200000000005
2025-12-31,0.104106
2026-03-31,0.183972
